"REF_DATE","GEO","DGUID","Products and product groups","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2025-01","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","162.6","","","","1"
"2025-02","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","164.6","","","","1"
"2025-03","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","165.1","","","","1"
"2025-04","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","164.8","","","","1"
"2025-05","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","165.9","","","","1"
"2025-06","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","166.0","","","","1"
"2025-07","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","166.5","","","","1"
"2025-08","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","166.0","","","","1"
"2025-09","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","166.1","","","","1"
"2025-10","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","166.4","","","","1"
"2025-11","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","166.6","","","","1"
"2025-12","Ontario","2016A000235","All-items","2002=100","17","units","0","v41691919","14.2","166.1","","","","1"
"2019-01","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","151.6","","","","1"
"2019-02","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","151.9","","","","1"
"2019-03","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","151.9","","","","1"
"2019-04","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","151.8","","","","1"
"2019-05","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","152.7","","","","1"
"2019-06","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","153.7","","","","1"
"2019-07","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","153.8","","","","1"
"2019-08","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","153.3","","","","1"
"2019-09","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","151.9","","","","1"
"2019-10","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","151.4","","","","1"
"2019-11","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","152.6","","","","1"
"2019-12","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","154.2","","","","1"
"2020-01","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","155.3","","","","1"
"2020-02","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","154.4","","","","1"
"2020-03","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","154.5","","","","1"
"2020-04","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","156.4","","","","1"
"2020-05","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","156.1","","","","1"
"2020-06","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","156.6","","","","1"
"2020-07","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","157.0","","","","1"
"2020-08","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","155.9","","","","1"
"2020-09","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","154.6","","","","1"
"2020-10","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","155.0","","","","1"
"2020-11","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","155.3","","","","1"
"2020-12","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","155.2","","","","1"
"2021-01","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","157.1","","","","1"
"2021-02","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","157.1","","","","1"
"2021-03","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","157.6","","","","1"
"2021-04","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","157.2","","","","1"
"2021-05","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","158.1","","","","1"
"2021-06","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","158.1","","","","1"
"2021-07","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","159.2","","","","1"
"2021-08","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","160.0","","","","1"
"2021-09","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","160.3","","","","1"
"2021-10","Ontario","2016A000235","Food","2002=100","17","units","0","v41691920","14.3","160.6","","","","1"
